id,old_priority,old_kind,old_summary,v3_status,v3_status_label,v3_evidence,old_test_case_count,old_tests
PV-BUG-001,P2/P3,reproduced_bug,setup.py/distribution is 2.0.2 but pathview.__version__ is 2.0.0,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_distribution_and_runtime_versions_match
PV-BUG-002,P2/P3,reproduced_bug,--no-kegg-native with output_format='png' silently writes graph PDF,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_non_native_png_request_produces_png
PV-BUG-003,P2/P3,reproduced_bug,Python API does not validate output_format; unknown values become PDF,still_reproducible,Still reproducible,"The Python API accepted output_format='jpg' and output_format='PNG' even though the documented choices are png, pdf, and svg. Empty input failed as FileNotFoundError and 'banana' failed in Matplotlib, not in pathview's API validation.",4,tests.test_public_core::test_python_api_rejects_unknown_output_format[jpg]; tests.test_public_core::test_python_api_rejects_unknown_output_format[PNG]; tests.test_public_core::test_python_api_rejects_unknown_output_format[]; tests.test_public_core::test_python_api_rejects_unknown_output_format[banana]
PV-BUG-004,P1,reproduced_bug,cached files cannot bypass live species lookup,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_fully_cached_human_pathway_does_not_require_network
PV-BUG-005,P2/P3,reproduced_bug,a partial color config replaces defaults instead of merging per molecule type,changed,Changed interface/behavior,"v3 uses separate `ColorScale`, `gene_color`, and `cpd_color` settings. A fair follow-up is to test partial settings through the new scale API.",1,tests.test_public_core::test_partial_color_dictionary_keeps_unspecified_defaults
PV-BUG-006,P1,reproduced_bug,map_null=False does not remove unmapped rows when a data table exists,still_reproducible,Still reproducible,"With map_null=False and one matched gene, plot_data_gene still had 27 rows while only 1 row carried a value.",1,tests.test_public_core::test_map_null_false_removes_unmapped_pathway_nodes
PV-BUG-007,P2/P3,reproduced_bug,"min_nnodes counts pathway layout nodes, not nodes matched by input data",still_reproducible,Still reproducible,One completely unmatched input ID with min_nnodes=1 returned a truthy result with 64 layout nodes and plot_data_gene=None.,1,tests.test_public_core::test_min_nnodes_is_based_on_input_matches
PV-BUG-008,P1,reproduced_bug,core returns dict while documented highlighting requires PathwayResult,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_core_result_supports_documented_highlighting_interface
PV-BUG-009,P1,reproduced_bug,mapped node table drops the exploded kegg_names identifier,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",2,tests.test_mapping_and_colors::test_mapped_node_table_retains_kegg_names; tests.test_public_core::test_core_gene_table_contains_highlighting_identifier_column
PV-BUG-010,P2/P3,reproduced_bug,"pathway prefixes that conflict with species are concatenated, not rejected",still_reproducible,Still reproducible,"pathview('mmu00020', species='hsa') looked for hsammu00020.xml and raised PathwayNotFoundError rather than rejecting the conflicting prefix.",1,tests.test_public_core::test_conflicting_pathway_prefix_is_rejected
