id,old_priority,old_kind,old_summary,v3_status,v3_status_label,v3_evidence,old_test_case_count,old_tests
PV-BUG-001,P2/P3,reproduced_bug,setup.py/distribution is 2.0.2 but pathview.__version__ is 2.0.0,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_distribution_and_runtime_versions_match
PV-BUG-002,P2/P3,reproduced_bug,--no-kegg-native with output_format='png' silently writes graph PDF,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_non_native_png_request_produces_png
PV-BUG-004,P1,reproduced_bug,cached files cannot bypass live species lookup,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_fully_cached_human_pathway_does_not_require_network
PV-BUG-008,P1,reproduced_bug,core returns dict while documented highlighting requires PathwayResult,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_core_result_supports_documented_highlighting_interface
PV-BUG-009,P1,reproduced_bug,mapped node table drops the exploded kegg_names identifier,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",2,tests.test_mapping_and_colors::test_mapped_node_table_retains_kegg_names; tests.test_public_core::test_core_gene_table_contains_highlighting_identifier_column
PV-BUG-011,P2/P3,reproduced_bug,empty KGML produces a schema-less frame and core crashes before graceful skip,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_empty_cached_pathway_is_skipped_cleanly
PV-BUG-012,P1,reproduced_bug,group aggregation UDF receives scalar elements under current Polars,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",2,tests.test_mapping_and_colors::test_all_advertised_aggregations_work[max_abs]; tests.test_mapping_and_colors::test_all_advertised_aggregations_work[random]
PV-BUG-013,P2/P3,reproduced_bug,mol_sum casts data IDs to strings but not mapping IDs,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_mapping_and_colors::test_mol_sum_normalizes_both_id_column_types
PV-BUG-014,P2/P3,reproduced_bug,null mapping targets are aggregated into a null output ID,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_mapping_and_colors::test_null_mapping_targets_are_removed
PV-BUG-015,P2/P3,reproduced_bug,duplicated mapping pairs duplicate the input value before aggregation,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_mapping_and_colors::test_duplicate_mapping_pairs_do_not_double_count
