id,old_priority,old_kind,old_summary,v3_status,v3_status_label,v3_evidence,old_test_case_count,old_tests
PV-BUG-003,P2/P3,reproduced_bug,Python API does not validate output_format; unknown values become PDF,still_reproducible,Still reproducible,"The Python API accepted output_format='jpg' and output_format='PNG' even though the documented choices are png, pdf, and svg. Empty input failed as FileNotFoundError and 'banana' failed in Matplotlib, not in pathview's API validation.",4,tests.test_public_core::test_python_api_rejects_unknown_output_format[jpg]; tests.test_public_core::test_python_api_rejects_unknown_output_format[PNG]; tests.test_public_core::test_python_api_rejects_unknown_output_format[]; tests.test_public_core::test_python_api_rejects_unknown_output_format[banana]
PV-BUG-006,P1,reproduced_bug,map_null=False does not remove unmapped rows when a data table exists,still_reproducible,Still reproducible,"With map_null=False and one matched gene, plot_data_gene still had 27 rows while only 1 row carried a value.",1,tests.test_public_core::test_map_null_false_removes_unmapped_pathway_nodes
PV-BUG-007,P2/P3,reproduced_bug,"min_nnodes counts pathway layout nodes, not nodes matched by input data",still_reproducible,Still reproducible,One completely unmatched input ID with min_nnodes=1 returned a truthy result with 64 layout nodes and plot_data_gene=None.,1,tests.test_public_core::test_min_nnodes_is_based_on_input_matches
PV-BUG-010,P2/P3,reproduced_bug,"pathway prefixes that conflict with species are concatenated, not rejected",still_reproducible,Still reproducible,"pathview('mmu00020', species='hsa') looked for hsammu00020.xml and raised PathwayNotFoundError rather than rejecting the conflicting prefix.",1,tests.test_public_core::test_conflicting_pathway_prefix_is_rejected
PV-BUG-017,P2/P3,reproduced_bug,negative experiment count is silently accepted,still_reproducible,Still reproducible,"sim_mol_data('cpd', n_exp=-1) returned columns ['compound', 'exp1'].",1,tests.test_mapping_and_colors::test_simulation_rejects_negative_experiment_count
PV-BUG-020,P2/P3,reproduced_bug,duplicate KGML entry IDs silently overwrite earlier entries,still_reproducible,Still reproducible,Two KGML entries with id='1' parsed successfully and the second entry overwrote the first.,1,tests.test_parsers::test_duplicate_kgml_entry_ids_are_rejected
PV-BUG-021,P2/P3,reproduced_bug,line graphics coords are ignored and replaced with zero/default geometry,still_reproducible,Still reproducible,"A KGML line with coords='10,20,30,40' parsed with x=None, y=None, width=46, height=17.",1,tests.test_parsers::test_kgml_line_graphics_coordinates_are_preserved
PV-BUG-027,P2/P3,reproduced_bug,Bezier control <point> children inside SBGN <next> are discarded,still_reproducible,Still reproducible,"Nested SBGN control points (20,20) and (25,20) were omitted; only start, next, and end coordinates remained.",1,tests.test_parsers::test_sbgn_arc_control_points_are_preserved
PV-BUG-034,P1,reproduced_bug,bbox_inches='tight' crops/rescales native output instead of preserving KEGG pixels,still_reproducible,Still reproducible,"A 120x100 native background saved as a 792x664 output with title, key, and signature disabled at dpi=100.",1,tests.test_rendering::test_native_output_preserves_background_dimensions
PV-BUG-038,P1,reproduced_bug,graph/PDF renderer uses only the first experiment color,still_reproducible,Still reproducible,Graph rendering reduced two colors per node to one node_color entry per node.,1,tests.test_rendering::test_graph_renderer_preserves_two_state_node_colors
PV-BUG-049,P2/P3,reproduced_bug,unknown routing mode silently falls back to straight,still_reproducible,Still reproducible,"route_edge_spline(..., routing_mode='banana') returned a finite (30,2) curve rather than rejecting the mode.",1,tests.test_highlighting_and_splines::test_unknown_routing_mode_is_rejected
PV-BUG-056,P2/P3,reproduced_bug,invalid KEGG file types fail with internal KeyError instead of validation error,still_reproducible,Still reproducible,"download_kegg(..., file_type=['banana']) raised KeyError('banana').",1,tests.test_cli_and_integrations::test_kegg_download_rejects_invalid_file_type
PV-BUG-057,P2/P3,reproduced_bug,KEGG downloader trusts any HTTP 200 body without format/content validation,still_reproducible,Still reproducible,"A mocked HTTP 200 HTML body for a PNG was written to hsa00020.png and reported as succeed. XML now has a content check, so this is a partial fix only.",2,tests.test_cli_and_integrations::test_kegg_download_rejects_html_error_page_with_status_200[xml]; tests.test_cli_and_integrations::test_kegg_download_rejects_html_error_page_with_status_200[png]
PV-BUG-061,P2/P3,reproduced_bug,KEGG chemical conversion uses alias 'cpd' where API specifies 'compound',still_reproducible,Still reproducible,The generated KEGG conversion URL still used /conv/cpd/ rather than /conv/compound/.,1,tests.test_cli_and_integrations::test_compound_mapping_uses_documented_kegg_database_name
PV-BUG-062,P2/P3,reproduced_bug,already-prefixed compound IDs receive a duplicate source prefix,still_reproducible,Still reproducible,An already-prefixed input produced /conv/cpd/pubchem:pubchem:123.,1,tests.test_cli_and_integrations::test_compound_mapping_normalizes_prefixed_input
PV-BUG-064,P2/P3,reproduced_bug,database detection is unexpectedly case-sensitive,still_reproducible,Still reproducible,"Uppercase Reactome/PANTHER IDs resolved, while lowercase forms returned null.",1,tests.test_cli_and_integrations::test_database_detection_is_case_insensitive
PV-BUG-069,P2/P3,reproduced_bug,all-transparent SVG nodes are forcibly recolored gray,still_reproducible,Still reproducible,render_node_svg replaced a transparent fill with the theme's unmapped color.,1,tests.test_rendering::test_svg_preserves_transparent_unmapped_nodes
PV-BUG-074,P1,reproduced_bug,Reactome SBGN file exporter route is coded as /exporter/sbgn/{id}.sbgn instead of /exporter/event/{id}.sbgn,still_reproducible,Still reproducible,REACTOME_SBGN is still https://reactome.org/ContentService/exporter/sbgn and constructs .../sbgn/{id}.sbgn.,1,tests.test_cli_and_integrations::test_reactome_downloader_uses_file_exporter_route
PV-BUG-075,P1,reproduced_bug,_add_symbol_labels joins a SYMBOL column but never replaces the rendered label,still_reproducible,Still reproducible,_symbol_labels returned an empty label map for a gene whose existing label was the Entrez text '7157'.,1,tests.test_public_core::test_map_symbol_updates_the_label_used_by_renderers
